Name,Age,Overall
L. Messi,31,94
Cristiano Ronaldo,33,94
Neymar Jr,26,92
De Gea,27,91
K. De Bruyne,27,91
E. Hazard,27,91
L. Modrić,32,91
L. Suárez,31,91
Sergio Ramos,32,91
J. Oblak,25,90
R. Lewandowski,29,90
T. Kroos,28,90
D. Godín,32,90
David Silva,32,90
N. Kanté,27,89
P. Dybala,24,89
H. Kane,24,89
A. Griezmann,27,89
M. ter Stegen,26,89
T. Courtois,26,89
Sergio Busquets,29,89
E. Cavani,31,89
M. Neuer,32,89
S. Agüero,30,89
G. Chiellini,33,89
K. Mbappé,19,88
M. Salah,26,88
Casemiro,26,88
J. Rodríguez,26,88
L. Insigne,27,88
Isco,26,88
C. Eriksen,26,88
Coutinho,26,88
P. Aubameyang,29,88
M. Hummels,29,88
Marcelo,30,88
G. Bale,28,88
H. Lloris,31,88
G. Higuaín,30,88
Thiago Silva,33,88
S. Handanovič,33,88
G. Buffon,40,88
S. Umtiti,24,87
M. Icardi,25,87
K. Koulibaly,27,87
P. Pogba,25,87
K. Navas,31,87
R. Lukaku,25,87
C. Immobile,28,87
Jordi Alba,29,87
D. Mertens,31,87
J. Vertonghen,31,87
M. Hamšík,30,87
I. Rakitić,30,87
Piqué,31,87
L. Sané,22,86
Bernardo Silva,23,86
Ederson,24,86
S. Mané,26,86
V. van Dijk,26,86
R. Sterling,23,86
Roberto Firmino,26,86
R. Varane,25,86
M. Verratti,25,86
Alex Sandro,27,86
Douglas Costa,27,86
T. Müller,28,86
Thiago,27,86
M. Reus,29,86
Azpilicueta,28,86
L. Bonucci,31,86
T. Alderweireld,29,86
M. Pjanić,28,86
M. Benatia,31,86
M. Özil,29,86
Fernandinho,33,86
Iniesta,34,86
M. Škriniar,23,85
S. Milinković-Savić,23,85
Marco Asensio,22,85
N. Fekir,24,85
Alisson,25,85
J. Kimmich,23,85
Saúl,23,85
R. Mahrez,27,85
D. Alaba,26,85
Koke,26,85
A. Lacazette,27,85
K. Manolas,27,85
N. Otamendi,30,85
Parejo,29,85
Paulinho,29,85
W. Szczęsny,28,85
A. Sánchez,29,85
Y. Brahimi,28,85
J. Boateng,29,85
A. Vidal,31,85
I. Perišić,29,85
E. Džeko,32,85
S. Khedira,31,85
Diego Costa,29,85
R. Nainggolan,30,85
Naldo,35,85
B. Matuidi,31,85
Miranda,33,85
K. Benzema,30,85
Filipe Luís,32,85
V. Kompany,32,85
Pepe,35,85
Z. Ibrahimović,36,85
D. Sánchez,22,84
J. Giménez,23,84
Alex Telles,25,84
A. Laporte,24,84
Bruno Fernandes,23,84
N. Süle,22,84
A. Martial,22,84
D. Alli,22,84
Fabinho,24,84
Marquinhos,24,84
William Carvalho,26,84
Jorginho,26,84
F. Thauvin,25,84
Carvajal,26,84
M. Depay,24,84
H. Son,25,84
A. Lopes,27,84
S. de Vrij,26,84
M. Perin,25,84
J. Cuadrado,30,84
Iago Aspas,30,84
B. Leno,26,84
N. Matić,29,84
L. Hrádecký,28,84
Illarramendi,28,84
K. Walker,28,84
I. Gündoğan,27,84
José Callejón,31,84
A. Di María,30,84
M. Mandžukić,32,84
Willian,29,84
Sergio Asenjo,29,84
E. Banega,30,84
A. Witsel,29,84
D. Payet,31,84
Jonas,34,84
Sokratis,30,84
S. Ruffier,31,84
Falcao,32,84
K. Schmeichel,31,84
Raúl Albiol,32,84
A. Gómez,30,84
A. Barzagli,37,84
Quaresma,34,84
A. Robben,34,84
O. Dembélé,21,83
Gabriel Jesus,21,83
Ronaldo Cabrais,26,83
Josué Chiamulera,26,83
Louri Beretta,26,83
P. Kimpembe,22,83
N. Keïta,23,83
C. Tolisso,23,83
T. Lemar,22,83
K. Coman,22,83
J. Tah,22,83
Anderson Talisca,24,83
T. Werner,22,83
A. Rabiot,23,83
L. Goretzka,23,83
Q. Promes,26,83
H. Ziyech,25,83
Lucas Vázquez,27,83
Y. Carrasco,24,83
Gerard Moreno,26,83
Felipe,29,83
M. Kovačić,24,83
Kepa,23,83
Manu Trigueros,26,83
S. Gnabry,22,83
J. Pickford,24,83
S. Savić,27,83
J. Stones,24,83
Suso,24,83
J. Draxler,24,83
Felipe Anderson,25,83
Lucas Moura,25,83
Danilo Pereira,26,83
Nacho Fernández,28,83
T. Horn,25,83
Allan,27,83
F. Acerbi,30,83
Sergi Roberto,26,83
Rodrigo,27,83
Pizzi,28,83
K. Kampl,27,83
Neto,28,83
O. Baumann,28,83
I. Gueye,28,83
H. Mkhitaryan,29,83
Marcos Alonso,27,83
D. Subašić,33,83
K. Glik,30,83
K. Strootman,28,83
B. Dost,29,83
Oscar,26,83
M. Balotelli,27,83
Luiz Gustavo,30,83
Giuliano,28,83
David Luiz,31,83
R. Fährmann,29,83
Juan Mata,30,83
Adán,31,83
Rui Patrício,30,83
Y. Sommer,29,83
Javi Martínez,29,83
L. Bender,29,83
Lucas Leiva,31,83
S. Mandanda,33,83
Cesc Fàbregas,31,83
M. Dembélé,30,83
F. Ribéry,35,83
R. Jarstein,33,83
D. De Rossi,34,83
Pepe Reina,35,83
J. Pavlenka,26,82
M. de Ligt,18,82
Rodri,22,82
Arthur,21,82
G. Donnarumma,19,82
Rosberto Dourado,30,82
Juiano Mestres,34,82
Raphaelito Anjos,30,82
Gelson Martins,23,82
Gonçalo Guedes,21,82
L. Torreira,22,82
Malcom,21,82
Pau López,23,82
L. Hernández,22,82
C. Lenglet,23,82
A. Kramarić,27,82
A. Robertson,24,82
Dani García,28,82
F. Bernardeschi,24,82
J. Brandt,22,82
D. Rugani,23,82
Samu Castillejo,23,82
João Cancelo,24,82
A. Romagnoli,23,82
T. Partey,25,82
Fred,25,82
J. Vardy,31,82
A. Belotti,24,82
E. Forsberg,26,82
J. Lingard,25,82
F. Vázquez,29,82
E. Višća,28,82
A. Rüdiger,25,82
A. Florenzi,27,82
H. Maguire,25,82
T. Meunier,26,82
S. Sané,27,82
G. Kondogbia,25,82
Rafinha,25,82
Gabriel Paulista,27,82
Morata,25,82
J. Cillessen,29,82
W. Ben Yedder,27,82
C. Bakambu,27,82
Pablo Sarabia,26,82
W. Zaha,25,82
Luis Alberto,25,82
Jonathan Viera,28,82
Bartra,27,82
S. Coates,27,82
Willian José,26,82
Mário Fernandes,27,82
Víctor Ruiz,29,82
T. Delaney,26,82
K. Casteels,26,82
M. Götze,26,82
S. Mustafi,26,82
J. Pastore,29,82
Pedro,30,82
G. Bonaventura,28,82
R. Bürki,27,82
Taison,30,82
S. Nzonzi,29,82
Marlos,30,82
A. Ramsey,27,82
K. Trippier,27,82
A. Kolarov,32,82
G. Sigurðsson,28,82
S. Giovinco,31,82
M. Arnautović,29,82
N. Gaitán,30,82
J. Henderson,28,82
M. Kruse,30,82
M. Parolo,33,82
L. Fejsa,29,82
A. Rami,32,82
V. Ćorluka,32,82
G. Wijnaldum,27,82
F. Fazio,31,82
O. Giroud,31,82
Marcano,31,82
A. Guardado,31,82
E. Garay,31,82
Jardel,32,82
S. Sirigu,31,82
E. Viviano,32,82
L. Koscielny,32,82
A. Consigli,31,82
L. Biglia,32,82
Dani Alves,35,82
David Villa,36,82
Aduriz,37,82
P. Čech,36,82
Casillas,37,82
M. Rashford,20,81
Laure Santeiro,30,81
L. Bailey,20,81
M. Akanji,22,81
F. de Jong,21,81
Nélson Semedo,24,81
Pablo Fornals,22,81
Fabián,22,81
E. Bailly,24,81
Dani Ceballos,21,81
H. Lozano,22,81
Morales,30,81
J. Seri,26,81
M. Politano,24,81
M. Brozović,25,81
Williams,24,81
A. Correa,23,81
A. Christensen,22,81
João Mário,25,81
T. Strakosha,23,81
E. Hysaj,24,81
P. Zieliński,24,81
Ricardo Pereira,24,81
Grimaldo,22,81
R. Guerreiro,24,81
A. Doucouré,25,81
J. Martínez,25,81
C. Bacca,31,81
A. Plea,25,81
B. Davies,25,81
M. Nastasić,25,81
